,Input,Output
231,"(15, 5, 4, 6)",2
232,"(15, 5, 4, 7)",2
233,"(15, 5, 4, 8)",2
234,"(15, 5, 4, 9)",2
235,"(15, 5, 4, 10)",2
236,"(15, 5, 4, 11)",2
237,"(15, 5, 4, 12)",2
238,"(15, 5, 4, 13)",2
239,"(15, 5, 4, 14)",2
240,"(15, 5, 5, 5)",2
241,"(15, 5, 5, 6)",1
242,"(15, 5, 5, 7)",1
243,"(15, 5, 5, 8)",2
244,"(15, 5, 5, 9)",2
245,"(15, 5, 5, 10)",2
246,"(15, 5, 5, 11)",2
247,"(15, 5, 5, 12)",2
248,"(15, 5, 5, 13)",2
249,"(15, 5, 5, 14)",2
250,"(15, 6, 1, 5)",1
251,"(15, 6, 1, 6)",2
252,"(15, 6, 1, 7)",2
253,"(15, 6, 1, 8)",2
254,"(15, 6, 1, 9)",2
255,"(15, 6, 1, 10)",2
256,"(15, 6, 1, 11)",2
257,"(15, 6, 1, 12)",2
258,"(15, 6, 1, 13)",2
259,"(15, 6, 1, 14)",2
260,"(15, 6, 2, 5)",1
261,"(15, 6, 2, 6)",2
262,"(15, 6, 2, 7)",2
263,"(15, 6, 2, 8)",2
264,"(15, 6, 2, 9)",2
265,"(15, 6, 2, 10)",2
266,"(15, 6, 2, 11)",2
267,"(15, 6, 2, 12)",2
268,"(15, 6, 2, 13)",2
269,"(15, 6, 2, 14)",2
270,"(15, 6, 3, 5)",1
271,"(15, 6, 3, 6)",2
272,"(15, 6, 3, 7)",2
273,"(15, 6, 3, 8)",2
274,"(15, 6, 3, 9)",2
275,"(15, 6, 3, 10)",2
276,"(15, 6, 3, 11)",2
277,"(15, 6, 3, 12)",2
278,"(15, 6, 3, 13)",2
279,"(15, 6, 3, 14)",2
280,"(15, 6, 4, 5)",2
281,"(15, 6, 4, 6)",2
282,"(15, 6, 4, 7)",2
283,"(15, 6, 4, 8)",2
284,"(15, 6, 4, 9)",2
285,"(15, 6, 4, 10)",2
286,"(15, 6, 4, 11)",2
287,"(15, 6, 4, 12)",2
288,"(15, 6, 4, 13)",2
289,"(15, 6, 4, 14)",2
290,"(15, 6, 5, 5)",2
291,"(15, 6, 5, 6)",2
292,"(15, 6, 5, 7)",2
293,"(15, 6, 5, 8)",2
294,"(15, 6, 5, 9)",2
295,"(15, 6, 5, 10)",2
296,"(15, 6, 5, 11)",2
297,"(15, 6, 5, 12)",2
298,"(15, 6, 5, 13)",2
299,"(15, 6, 5, 14)",2
300,"(15, 9, 1, 5)",1
301,"(15, 9, 1, 6)",1
302,"(15, 9, 1, 7)",1
303,"(15, 9, 1, 8)",2
304,"(15, 9, 1, 9)",2
305,"(15, 9, 1, 10)",2
306,"(15, 9, 1, 11)",2
307,"(15, 9, 1, 12)",2
308,"(15, 9, 1, 13)",2
309,"(15, 9, 1, 14)",2
310,"(15, 9, 2, 5)",1
311,"(15, 9, 2, 6)",1
312,"(15, 9, 2, 7)",1
313,"(15, 9, 2, 8)",2
314,"(15, 9, 2, 9)",2
315,"(15, 9, 2, 10)",2
316,"(15, 9, 2, 11)",2
317,"(15, 9, 2, 12)",2
318,"(15, 9, 2, 13)",2
319,"(15, 9, 2, 14)",2
320,"(15, 9, 3, 5)",1
321,"(15, 9, 3, 6)",1
322,"(15, 9, 3, 7)",1
323,"(15, 9, 3, 8)",2
324,"(15, 9, 3, 9)",2
325,"(15, 9, 3, 10)",2
326,"(15, 9, 3, 11)",2
327,"(15, 9, 3, 12)",2
328,"(15, 9, 3, 13)",2
329,"(15, 9, 3, 14)",2
330,"(15, 9, 4, 5)",1
331,"(15, 9, 4, 6)",1
332,"(15, 9, 4, 7)",2
333,"(15, 9, 4, 8)",2
334,"(15, 9, 4, 9)",2
335,"(15, 9, 4, 10)",2
336,"(15, 9, 4, 11)",2
337,"(15, 9, 4, 12)",2
338,"(15, 9, 4, 13)",2
339,"(15, 9, 4, 14)",2
340,"(15, 9, 5, 5)",1
341,"(15, 9, 5, 6)",1
342,"(15, 9, 5, 7)",2
343,"(15, 9, 5, 8)",2
344,"(15, 9, 5, 9)",2
345,"(15, 9, 5, 10)",2
346,"(15, 9, 5, 11)",2
347,"(15, 9, 5, 12)",2
348,"(15, 9, 5, 13)",2
349,"(15, 9, 5, 14)",2
350,"(16, 1, 1, 5)",2
351,"(16, 1, 1, 6)",2
352,"(16, 1, 1, 7)",2
353,"(16, 1, 1, 8)",2
354,"(16, 1, 1, 9)",2
355,"(16, 1, 1, 10)",2
356,"(16, 1, 1, 11)",2
357,"(16, 1, 1, 12)",2
358,"(16, 1, 1, 13)",2
359,"(16, 1, 1, 14)",2
360,"(16, 1, 2, 5)",2
361,"(16, 1, 2, 6)",2
362,"(16, 1, 2, 7)",2
363,"(16, 1, 2, 8)",2
364,"(16, 1, 2, 9)",2
365,"(16, 1, 2, 10)",2
366,"(16, 1, 2, 11)",2
367,"(16, 1, 2, 12)",2
368,"(16, 1, 2, 13)",2
369,"(16, 1, 2, 14)",2
370,"(16, 1, 3, 5)",2
371,"(16, 1, 3, 6)",2
372,"(16, 1, 3, 7)",2
373,"(16, 1, 3, 8)",2
374,"(16, 1, 3, 9)",2
375,"(16, 1, 3, 10)",2
376,"(16, 1, 3, 11)",2
377,"(16, 1, 3, 12)",2
378,"(16, 1, 3, 13)",2
379,"(16, 1, 3, 14)",2
380,"(16, 1, 4, 5)",1
381,"(16, 1, 4, 6)",1
382,"(16, 1, 4, 7)",2
383,"(16, 1, 4, 8)",2
384,"(16, 1, 4, 9)",2
385,"(16, 1, 4, 10)",2
386,"(16, 1, 4, 11)",2
387,"(16, 1, 4, 12)",2
388,"(16, 1, 4, 13)",2
389,"(16, 1, 4, 14)",2
390,"(16, 1, 5, 5)",2
391,"(16, 1, 5, 6)",2
392,"(16, 1, 5, 7)",1
393,"(16, 1, 5, 8)",2
394,"(16, 1, 5, 9)",2
395,"(16, 1, 5, 10)",2
396,"(16, 1, 5, 11)",2
397,"(16, 1, 5, 12)",2
398,"(16, 1, 5, 13)",2
399,"(16, 1, 5, 14)",2
400,"(16, 2, 1, 5)",2
401,"(16, 2, 1, 6)",2
402,"(16, 2, 1, 7)",2
403,"(16, 2, 1, 8)",2
404,"(16, 2, 1, 9)",2
405,"(16, 2, 1, 10)",2
406,"(16, 2, 1, 11)",2
407,"(16, 2, 1, 12)",2
408,"(16, 2, 1, 13)",2
409,"(16, 2, 1, 14)",2
410,"(16, 2, 2, 5)",2
411,"(16, 2, 2, 6)",2
412,"(16, 2, 2, 7)",2
413,"(16, 2, 2, 8)",2
414,"(16, 2, 2, 9)",2
415,"(16, 2, 2, 10)",2
416,"(16, 2, 2, 11)",2
417,"(16, 2, 2, 12)",2
418,"(16, 2, 2, 13)",2
419,"(16, 2, 2, 14)",2
420,"(16, 2, 3, 5)",2
421,"(16, 2, 3, 6)",2
422,"(16, 2, 3, 7)",2
423,"(16, 2, 3, 8)",2
424,"(16, 2, 3, 9)",2
425,"(16, 2, 3, 10)",2
426,"(16, 2, 3, 11)",2
427,"(16, 2, 3, 12)",2
428,"(16, 2, 3, 13)",2
429,"(16, 2, 3, 14)",2
430,"(16, 2, 4, 5)",1
431,"(16, 2, 4, 6)",1
432,"(16, 2, 4, 7)",2
433,"(16, 2, 4, 8)",2
434,"(16, 2, 4, 9)",2
435,"(16, 2, 4, 10)",2
436,"(16, 2, 4, 11)",2
437,"(16, 2, 4, 12)",2
438,"(16, 2, 4, 13)",2
439,"(16, 2, 4, 14)",2
440,"(16, 2, 5, 5)",2
441,"(16, 2, 5, 6)",1
442,"(16, 2, 5, 7)",1
443,"(16, 2, 5, 8)",2
444,"(16, 2, 5, 9)",2
445,"(16, 2, 5, 10)",2
446,"(16, 2, 5, 11)",2
447,"(16, 2, 5, 12)",2
448,"(16, 2, 5, 13)",2
449,"(16, 2, 5, 14)",2
450,"(16, 3, 1, 5)",2
451,"(16, 3, 1, 6)",2
452,"(16, 3, 1, 7)",2
453,"(16, 3, 1, 8)",2
454,"(16, 3, 1, 9)",2
455,"(16, 3, 1, 10)",2
456,"(16, 3, 1, 11)",2
457,"(16, 3, 1, 12)",2
458,"(16, 3, 1, 13)",2
459,"(16, 3, 1, 14)",2
460,"(16, 3, 2, 5)",2
461,"(16, 3, 2, 6)",2
462,"(16, 3, 2, 7)",2
463,"(16, 3, 2, 8)",2
464,"(16, 3, 2, 9)",2
465,"(16, 3, 2, 10)",2
466,"(16, 3, 2, 11)",2
467,"(16, 3, 2, 12)",2
468,"(16, 3, 2, 13)",2
469,"(16, 3, 2, 14)",2
470,"(16, 3, 3, 5)",2
471,"(16, 3, 3, 6)",2
472,"(16, 3, 3, 7)",2
473,"(16, 3, 3, 8)",2
474,"(16, 3, 3, 9)",2
475,"(16, 3, 3, 10)",2
476,"(16, 3, 3, 11)",2
477,"(16, 3, 3, 12)",2
478,"(16, 3, 3, 13)",2
479,"(16, 3, 3, 14)",2
480,"(16, 3, 4, 5)",2
481,"(16, 3, 4, 6)",1
482,"(16, 3, 4, 7)",2
483,"(16, 3, 4, 8)",2
484,"(16, 3, 4, 9)",2
485,"(16, 3, 4, 10)",2
486,"(16, 3, 4, 11)",2
487,"(16, 3, 4, 12)",2
488,"(16, 3, 4, 13)",2
489,"(16, 3, 4, 14)",2
490,"(16, 3, 5, 5)",1
491,"(16, 3, 5, 6)",1
492,"(16, 3, 5, 7)",1
493,"(16, 3, 5, 8)",2
494,"(16, 3, 5, 9)",2
495,"(16, 3, 5, 10)",2
496,"(16, 3, 5, 11)",2
497,"(16, 3, 5, 12)",2
498,"(16, 3, 5, 13)",2
499,"(16, 3, 5, 14)",2
500,"(16, 4, 1, 5)",2
501,"(16, 4, 1, 6)",2
502,"(16, 4, 1, 7)",2
503,"(16, 4, 1, 8)",2
504,"(16, 4, 1, 9)",2
505,"(16, 4, 1, 10)",2
506,"(16, 4, 1, 11)",2
507,"(16, 4, 1, 12)",2
508,"(16, 4, 1, 13)",2
509,"(16, 4, 1, 14)",2
510,"(16, 4, 2, 5)",2
511,"(16, 4, 2, 6)",2
512,"(16, 4, 2, 7)",2
513,"(16, 4, 2, 8)",2
514,"(16, 4, 2, 9)",2
515,"(16, 4, 2, 10)",2
516,"(16, 4, 2, 11)",2
517,"(16, 4, 2, 12)",2
518,"(16, 4, 2, 13)",2
519,"(16, 4, 2, 14)",2
520,"(16, 4, 3, 5)",1
521,"(16, 4, 3, 6)",2
522,"(16, 4, 3, 7)",2
523,"(16, 4, 3, 8)",2
524,"(16, 4, 3, 9)",2
525,"(16, 4, 3, 10)",2
526,"(16, 4, 3, 11)",2
527,"(16, 4, 3, 12)",2
528,"(16, 4, 3, 13)",2
529,"(16, 4, 3, 14)",2
530,"(16, 4, 4, 5)",1
531,"(16, 4, 4, 6)",1
532,"(16, 4, 4, 7)",2
533,"(16, 4, 4, 8)",2
534,"(16, 4, 4, 9)",2
535,"(16, 4, 4, 10)",2
536,"(16, 4, 4, 11)",2
537,"(16, 4, 4, 12)",2
538,"(16, 4, 4, 13)",2
539,"(16, 4, 4, 14)",2
540,"(16, 4, 5, 5)",1
541,"(16, 4, 5, 6)",1
542,"(16, 4, 5, 7)",1
543,"(16, 4, 5, 8)",2
544,"(16, 4, 5, 9)",2
545,"(16, 4, 5, 10)",2
546,"(16, 4, 5, 11)",2
547,"(16, 4, 5, 12)",2
548,"(16, 4, 5, 13)",2
549,"(16, 4, 5, 14)",2
550,"(16, 5, 1, 5)",1
551,"(16, 5, 1, 6)",2
552,"(16, 5, 1, 7)",2
553,"(16, 5, 1, 8)",2
554,"(16, 5, 1, 9)",2
555,"(16, 5, 1, 10)",2
556,"(16, 5, 1, 11)",2
557,"(16, 5, 1, 12)",2
558,"(16, 5, 1, 13)",2
559,"(16, 5, 1, 14)",2
560,"(16, 5, 2, 5)",2
561,"(16, 5, 2, 6)",2
562,"(16, 5, 2, 7)",2
563,"(16, 5, 2, 8)",2
564,"(16, 5, 2, 9)",2
565,"(16, 5, 2, 10)",2
566,"(16, 5, 2, 11)",2
567,"(16, 5, 2, 12)",2
568,"(16, 5, 2, 13)",2
569,"(16, 5, 2, 14)",2
570,"(16, 5, 3, 5)",2
571,"(16, 5, 3, 6)",2
572,"(16, 5, 3, 7)",2
573,"(16, 5, 3, 8)",2
574,"(16, 5, 3, 9)",2
575,"(16, 5, 3, 10)",2
576,"(16, 5, 3, 11)",2
577,"(16, 5, 3, 12)",2
578,"(16, 5, 3, 13)",2
579,"(16, 5, 3, 14)",2
580,"(16, 5, 4, 5)",2
581,"(16, 5, 4, 6)",2
582,"(16, 5, 4, 7)",2
583,"(16, 5, 4, 8)",2
584,"(16, 5, 4, 9)",2
585,"(16, 5, 4, 10)",2
586,"(16, 5, 4, 11)",2
587,"(16, 5, 4, 12)",2
588,"(16, 5, 4, 13)",2
589,"(16, 5, 4, 14)",2
590,"(16, 5, 5, 5)",2
591,"(16, 5, 5, 6)",1
592,"(16, 5, 5, 7)",1
593,"(16, 5, 5, 8)",2
594,"(16, 5, 5, 9)",2
595,"(16, 5, 5, 10)",2
596,"(16, 5, 5, 11)",2
597,"(16, 5, 5, 12)",2
598,"(16, 5, 5, 13)",2
599,"(16, 5, 5, 14)",2
600,"(16, 6, 1, 5)",1
601,"(16, 6, 1, 6)",2
602,"(16, 6, 1, 7)",2
603,"(16, 6, 1, 8)",2
604,"(16, 6, 1, 9)",2
605,"(16, 6, 1, 10)",2
606,"(16, 6, 1, 11)",2
607,"(16, 6, 1, 12)",2
608,"(16, 6, 1, 13)",2
609,"(16, 6, 1, 14)",2
610,"(16, 6, 2, 5)",1
611,"(16, 6, 2, 6)",2
612,"(16, 6, 2, 7)",2
613,"(16, 6, 2, 8)",2
614,"(16, 6, 2, 9)",2
615,"(16, 6, 2, 10)",2
616,"(16, 6, 2, 11)",2
617,"(16, 6, 2, 12)",2
618,"(16, 6, 2, 13)",2
619,"(16, 6, 2, 14)",2
620,"(16, 6, 3, 5)",1
621,"(16, 6, 3, 6)",2
622,"(16, 6, 3, 7)",2
623,"(16, 6, 3, 8)",2
624,"(16, 6, 3, 9)",2
625,"(16, 6, 3, 10)",2
626,"(16, 6, 3, 11)",2
627,"(16, 6, 3, 12)",2
628,"(16, 6, 3, 13)",2
629,"(16, 6, 3, 14)",2
630,"(16, 6, 4, 5)",2
631,"(16, 6, 4, 6)",2
632,"(16, 6, 4, 7)",2
633,"(16, 6, 4, 8)",2
634,"(16, 6, 4, 9)",2
635,"(16, 6, 4, 10)",2
636,"(16, 6, 4, 11)",2
637,"(16, 6, 4, 12)",2
638,"(16, 6, 4, 13)",2
639,"(16, 6, 4, 14)",2
640,"(16, 6, 5, 5)",2
641,"(16, 6, 5, 6)",2
642,"(16, 6, 5, 7)",2
643,"(16, 6, 5, 8)",2
644,"(16, 6, 5, 9)",2
645,"(16, 6, 5, 10)",2
646,"(16, 6, 5, 11)",2
647,"(16, 6, 5, 12)",2
648,"(16, 6, 5, 13)",2
649,"(16, 6, 5, 14)",2
650,"(16, 9, 1, 5)",1
651,"(16, 9, 1, 6)",1
652,"(16, 9, 1, 7)",1
653,"(16, 9, 1, 8)",2
654,"(16, 9, 1, 9)",2
655,"(16, 9, 1, 10)",2
656,"(16, 9, 1, 11)",2
657,"(16, 9, 1, 12)",2
658,"(16, 9, 1, 13)",2
659,"(16, 9, 1, 14)",2
660,"(16, 9, 2, 5)",1
661,"(16, 9, 2, 6)",1
662,"(16, 9, 2, 7)",1
663,"(16, 9, 2, 8)",2
664,"(16, 9, 2, 9)",2
665,"(16, 9, 2, 10)",2
666,"(16, 9, 2, 11)",2
667,"(16, 9, 2, 12)",2
668,"(16, 9, 2, 13)",2
669,"(16, 9, 2, 14)",2
670,"(16, 9, 3, 5)",1
671,"(16, 9, 3, 6)",1
672,"(16, 9, 3, 7)",1
673,"(16, 9, 3, 8)",2
674,"(16, 9, 3, 9)",2
675,"(16, 9, 3, 10)",2
676,"(16, 9, 3, 11)",2
677,"(16, 9, 3, 12)",2
678,"(16, 9, 3, 13)",2
679,"(16, 9, 3, 14)",2
680,"(16, 9, 4, 5)",1
681,"(16, 9, 4, 6)",1
682,"(16, 9, 4, 7)",1
683,"(16, 9, 4, 8)",2
684,"(16, 9, 4, 9)",2
685,"(16, 9, 4, 10)",2
686,"(16, 9, 4, 11)",2
687,"(16, 9, 4, 12)",2
688,"(16, 9, 4, 13)",2
689,"(16, 9, 4, 14)",2
690,"(16, 9, 5, 5)",1
691,"(16, 9, 5, 6)",1
692,"(16, 9, 5, 7)",2
693,"(16, 9, 5, 8)",2
694,"(16, 9, 5, 9)",2
695,"(16, 9, 5, 10)",2
696,"(16, 9, 5, 11)",2
697,"(16, 9, 5, 12)",2
698,"(16, 9, 5, 13)",2
699,"(16, 9, 5, 14)",2
700,"(17, 1, 1, 5)",0
701,"(17, 1, 1, 6)",2
702,"(17, 1, 1, 7)",2
703,"(17, 1, 1, 8)",2
704,"(17, 1, 1, 9)",2
705,"(17, 1, 1, 10)",2
706,"(17, 1, 1, 11)",2
707,"(17, 1, 1, 12)",2
708,"(17, 1, 1, 13)",2
709,"(17, 1, 1, 14)",2
710,"(17, 1, 2, 5)",0
711,"(17, 1, 2, 6)",2
712,"(17, 1, 2, 7)",2
713,"(17, 1, 2, 8)",2
714,"(17, 1, 2, 9)",2
715,"(17, 1, 2, 10)",2
716,"(17, 1, 2, 11)",2
717,"(17, 1, 2, 12)",2
718,"(17, 1, 2, 13)",2
719,"(17, 1, 2, 14)",2
720,"(17, 1, 3, 5)",0
721,"(17, 1, 3, 6)",2
722,"(17, 1, 3, 7)",2
723,"(17, 1, 3, 8)",2
724,"(17, 1, 3, 9)",2
725,"(17, 1, 3, 10)",2
726,"(17, 1, 3, 11)",2
727,"(17, 1, 3, 12)",2
728,"(17, 1, 3, 13)",2
729,"(17, 1, 3, 14)",2
730,"(17, 1, 4, 5)",2
731,"(17, 1, 4, 6)",2
732,"(17, 1, 4, 7)",2
733,"(17, 1, 4, 8)",2
734,"(17, 1, 4, 9)",2
735,"(17, 1, 4, 10)",2
736,"(17, 1, 4, 11)",2
737,"(17, 1, 4, 12)",2
738,"(17, 1, 4, 13)",2
739,"(17, 1, 4, 14)",2
740,"(17, 1, 5, 5)",2
741,"(17, 1, 5, 6)",1
742,"(17, 1, 5, 7)",1
743,"(17, 1, 5, 8)",2
744,"(17, 1, 5, 9)",2
745,"(17, 1, 5, 10)",2
746,"(17, 1, 5, 11)",2
747,"(17, 1, 5, 12)",2
748,"(17, 1, 5, 13)",2
749,"(17, 1, 5, 14)",2
750,"(17, 2, 1, 5)",0
751,"(17, 2, 1, 6)",2
752,"(17, 2, 1, 7)",2
753,"(17, 2, 1, 8)",2
754,"(17, 2, 1, 9)",2
755,"(17, 2, 1, 10)",2
756,"(17, 2, 1, 11)",2
757,"(17, 2, 1, 12)",2
758,"(17, 2, 1, 13)",2
759,"(17, 2, 1, 14)",2
760,"(17, 2, 2, 5)",0
761,"(17, 2, 2, 6)",2
762,"(17, 2, 2, 7)",2
763,"(17, 2, 2, 8)",2
764,"(17, 2, 2, 9)",2
765,"(17, 2, 2, 10)",2
766,"(17, 2, 2, 11)",2
767,"(17, 2, 2, 12)",2
768,"(17, 2, 2, 13)",2
769,"(17, 2, 2, 14)",2
770,"(17, 2, 3, 5)",2
771,"(17, 2, 3, 6)",2
772,"(17, 2, 3, 7)",2
773,"(17, 2, 3, 8)",2
774,"(17, 2, 3, 9)",2
775,"(17, 2, 3, 10)",2
776,"(17, 2, 3, 11)",2
